Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,209.6357879638672,287.9331359863281,26696.490234375,8980.7802734375,216.47999572753906,311.5,26696.490234375,8980.7802734375,220.27999877929688,318.1099853515625,26776.060546875,9148.3203125,214.89999389648438,310.70001220703125,26479.900390625,8927.7998046875,216.7100067138672,314.17999267578125,26479.900390625,9011.5498046875,79537700.0,194773800.0,2040000000.0,3587950000.0
2020-02-27,199.1385040283203,275.0015869140625,26778.619140625,8566.48046875,205.63999938964844,297.510009765625,26778.619140625,8566.48046875,216.4199981689453,311.55999755859375,26849.5703125,8904.1103515625,205.5,297.510009765625,26419.970703125,8562.0498046875,210.89999389648438,305.4599914550781,26529.169921875,8744.0302734375,121822600.0,284353500.0,2110369700.0,4559900000.0
2020-02-28,199.29344177246094,273.8460998535156,26129.9296875,8567.3701171875,205.8000030517578,296.260009765625,26129.9296875,8567.3701171875,207.1699981689453,297.8900146484375,26313.55078125,8591.8203125,198.1699981689453,285.5400085449219,25989.41015625,8264.16015625,198.63999938964844,288.70001220703125,26249.060546875,8269.740234375,148173700.0,384975800.0,3191426200.0,5320020000.0
2020-03-02,209.57765197753906,285.7054748535156,26291.6796875,8952.169921875,216.4199981689453,309.0899963378906,26291.6796875,8952.169921875,216.57000732421875,309.1600036621094,26375.91015625,8952.8095703125,205.94000244140625,294.4599914550781,26077.73046875,8543.349609375,208.8800048828125,298.2099914550781,26077.73046875,8667.1396484375,112933900.0,238703600.0,2201535600.0,4249020000.0
2020-03-03,202.85707092285156,277.5249328613281,26284.8203125,8684.08984375,209.47999572753906,300.239990234375,26284.8203125,8684.08984375,219.61000061035156,313.8399963378906,26527.75,9070.3203125,207.6199951171875,297.57000732421875,26233.390625,8602.8896484375,217.11000061035156,309.5,26419.130859375,8965.099609375,131953500.0,300139100.0,2136295000.0,4336700000.0
2020-03-04,211.32080078125,289.190185546875,26222.0703125,9018.08984375,218.22000122070312,312.8599853515625,26222.0703125,9018.08984375,218.3300018310547,313.1000061035156,26372.48046875,9019.9599609375,211.3699951171875,303.3299865722656,26038.390625,8757.66015625,213.32000732421875,306.1199951171875,26321.560546875,8834.099609375,73086200.0,176613400.0,1957062400.0,3634760000.0
2020-03-05,204.90036010742188,279.57708740234375,26767.869140625,8738.58984375,211.58999633789062,302.4599914550781,26767.869140625,8738.58984375,216.36000061035156,308.4700012207031,26805.580078125,8921.080078125,210.10000610351562,300.010009765625,26315.359375,8677.3896484375,212.69000244140625,304.9800109863281,26348.16015625,8790.08984375,78705500.0,186366800.0,2522843200.0,3763860000.0
2020-03-06,201.44322204589844,274.955322265625,26146.669921875,8575.6201171875,208.02000427246094,297.4599914550781,26146.669921875,8575.6201171875,209.14999389648438,298.7799987792969,26408.80078125,8612.3603515625,202.91000366210938,290.2300109863281,26084.23046875,8375.1298828125,204.6699981689453,293.1499938964844,26397.779296875,8469.01953125,89828400.0,228667200.0,2646519300.0,4292730000.0
2020-03-09,187.4501190185547,253.48281860351562,25040.4609375,7950.68017578125,193.57000732421875,274.2300109863281,25040.4609375,7950.68017578125,201.16000366210938,284.19000244140625,25321.279296875,8243.3095703125,192.11000061035156,273.45001220703125,24948.380859375,7943.16015625,193.47999572753906,275.29998779296875,25134.01953125,7957.93017578125,116424000.0,309417300.0,4677892400.0,4554110000.0
2020-03-10,197.65687561035156,266.5992431640625,25392.509765625,8344.25,204.11000061035156,288.4200134277344,25392.509765625,8344.25,204.3000030517578,288.5199890136719,25578.609375,8347.400390625,193.67999267578125,273.5,24978.970703125,7930.43017578125,201.11000061035156,284.6400146484375,25285.6796875,8219.759765625,100599200.0,276444100.0,3225661100.0,4447260000.0
